footprintWKT	coordinateUncertaintyInMeters	decimalLatitude	decimalLongitude
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-45.4727 -60.69966, -45.47562 -60.69875)	94.49443635570775	-60.69920500796727	-45.47416002062669
LINESTRING (-46.93724 -61.53567, -46.9458 -61.53389)	248.34099499331958	-61.53478006714231	-46.94152012243661
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576	-61.53216016130698	-47.147195221770744
LINESTRING (-47.14056 -61.5332, -47.15383 -61.53112)	371.520876088576	-61.53216016130698	-47.147195221770744
LINESTRING (-47.16144 -61.53181, -47.17042 -61.53002)	258.8625331274841	-61.53091507389397	-47.16593012914476
LINESTRING (-47.16144 -61.53181, -47.17042 -61.53002)	258.8625331274841	-61.53091507389397	-47.16593012914476
LINESTRING (-47.16144 -61.53181, -47.17042 -61.53002)	258.8625331274841	-61.53091507389397	-47.16593012914476
LINESTRING (-47.16144 -61.53181, -47.17042 -61.53002)	258.8625331274841	-61.53091507389397	-47.16593012914476
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
LINESTRING (-47.12975 -61.53737, -47.13748 -61.53434)	266.02950965111995	-61.535855054873366	-47.133615188217114
